State,County,City,Wikipedia_URL
Alabama,Henry County,Abbeville,http://www.cityofabbeville.org/
Alabama,Jefferson County,Adamsville,http://www.cityofadamsville.org/
Alabama,Winston County,Addison,http://town-of-addison.com/
Alabama,Shelby County,Alabaster,http://www.cityofalabaster.com
Alabama,Marshall County,Albertville,http://www.cityofalbertville.com
Alabama,Tallapoosa County,Alexander City,https://alexandercityal.gov/
Alabama,Pickens County,Aliceville,https://www.thecityofaliceville.com/
Alabama,Covington County,Andalusia,http://www.cityofandalusia.com
Alabama,Calhoun County,Anniston,http://www.annistonal.gov
Alabama,Marshall County,Arab,http://www.arabcity.org
Alabama,Limestone County,Ardmore,http://www.townofardmorealabama.com/
Alabama,St. Clair County,Argo,http://www.cityofargo.org/
Alabama,Houston County,Ashford,http://www.cityofashford.com/
Alabama,Clay County,Ashland,http://www.cityofashland.net/
Alabama,St. Clair County,Ashville,http://www.cityofashville.org/
Alabama,Limestone County,Athens,http://www.athensal.us/
Alabama,Escambia County,Atmore,https://cityofatmore.com/
Alabama,Etowah County,Attalla,http://www.attallacity.com
Alabama,Lee County,Auburn,http://www.auburnalabama.org/
Alabama,Baldwin County,Bay Minette,http://www.cityofbayminette.org
Alabama,Mobile County,Bayou La Batre,http://cityofbayoulabatre.com
Alabama,Fayette County,Berry,http://townofberryalabama.org
Alabama,Jefferson County,Bessemer,https://www.bessemeral.org/
Alabama,Jefferson County,Birmingham,https://www.birminghamal.gov/
Alabama,Blount County,Blountsville,https://blountsvilleal.com/
Alabama,Marshall County,Boaz,http://www.cityofboaz.org
Alabama,Crenshaw County,Brantley,https://www.townofbrantley.net/
Alabama,Bibb County,Brent,http://www.cityofbrentalabama.com
Alabama,Escambia County,Brewton,http://www.cityofbrewton.org/
Alabama,Marion County,Brilliant,http://www.brilliantal.org
Alabama,Jefferson County,Brookside,https://www.brooksidealabama.com/
Alabama,Tuscaloosa County,Brookwood,http://www.brookwoodalabama.com/
Alabama,Pike County,Brundidge,http://www.brundidge.org/
Alabama,Choctaw County,Butler,https://www.butleralabama.org/
Alabama,Chilton County,Calera,http://www.cityofcalera.org
Alabama,Walker County,Carbon Hill,https://carbonhill.org/
